Wavelength [A],flux [erg/cm^2/s/A]
1.0,2.7275155302670403e-30
2.0,2.144588221079212e-14
3.0,5.391249306934976e-09
4.0,2.816173738939294e-06
5.0,0.00012028150614992431
6.0,0.001446021756123078
7.0,0.008475987721223198
8.0,0.050212644913951304
9.0,0.08559908355425362
10.0,0.1870701942239454
11.0,1.7275863718389015
12.0,0.5637870690522157
13.0,0.8724783898528253
14.0,1.2704560330257821
15.0,2.6389282645308207
16.0,23.482866351028
17.0,1.5304388569283562
18.0,1.7141529975598166
19.0,59.979442011634895
20.0,2.3254883170372156
21.0,2.7300343153063755
22.0,8.587805524397597
23.0,4.426155555634591
24.0,4.719632385197127
25.0,5.212779811602094
26.0,4.699079578785649
27.0,69.64595001562681
28.0,20.046146439664252
29.0,6.98150405165958
30.0,5.004820392768416
31.0,20.93556160286727
32.0,13.667410236026946
33.0,15.805789345636247
34.0,8.018355562362128
35.0,126.03532858220969
36.0,9.728852766775933
37.0,18.146714354622485
38.0,29.600326319719247
39.0,11.092325400337426
40.0,63.49272572362262
41.0,23.36755152072027
42.0,35.1673730790055
43.0,103.94094026451242
44.0,269.1717234538629
45.0,34.344979714667836
46.0,17.95658209839113
47.0,49.80914595866404
48.0,28.223864877860258
49.0,44.70879553621277
50.0,39.67642702132202
51.0,18.003714711653366
52.0,50.07178809578726
53.0,105.5775448397413
54.0,58.704195227576335
55.0,118.53632143422917
56.0,244.60965815130717
57.0,64.38386121005581
58.0,76.62171676423495
59.0,114.51998207302474
60.0,57.50670326092524
61.0,837.3872394183843
62.0,365.2797644402338
63.0,213.9236801690909
64.0,93.21055720445123
65.0,38.523659319132435
66.0,84.79959888186724
67.0,70.68968985214904
68.0,39.67732522807484
69.0,69.91284046262027
70.0,257.9591128111942
71.0,102.38499919719769
72.0,436.3777874380854
73.0,186.2380370120528
74.0,56.49695253106803
75.0,674.4814820008057
76.0,162.69376544110364
77.0,45.836797255918384
78.0,81.77228414586352
79.0,57.36531597842129
80.0,105.73103397244047
81.0,38.6722747318858
82.0,190.9816598112758
83.0,37.57286073790568
84.0,632.8284007619608
85.0,46.90551404035961
86.0,42.47941947146551
87.0,214.25392378535435
88.0,232.34175687025535
89.0,295.6599236100697
90.0,91.5053458384005
91.0,102.74422641494337
92.0,181.67119224965367
